k1 k2
7.948901300904612222e-02 -1.697087646058610677e-02
8.057838844626158403e-02 -1.648856397491485493e-02
8.028704604686973112e-02 -1.578455092223193801e-02
7.933276278927123282e-02 -1.686281147077003939e-02
7.942938816146982717e-02 -1.769240728551697839e-02
8.085553175343546117e-02 -1.700785761390954942e-02
8.047724590719976256e-02 -1.556797838431496495e-02
8.111786300290813045e-02 -1.677095623704433214e-02
8.087262086025365226e-02 -1.679461083747224581e-02
7.929042816204942556e-02 -1.690726552769912516e-02
8.021410759098560050e-02 -1.545285958504583057e-02
7.910694627976053162e-02 -1.815601380000234077e-02
7.989863463197571791e-02 -1.607284847930566529e-02
8.120471888422239881e-02 -1.615952141059925906e-02
7.968431413656223983e-02 -1.673602796388899694e-02
8.048153388628256910e-02 -1.578265661798868014e-02
7.885697431403890234e-02 -1.735035648665819719e-02
7.909160277969937147e-02 -1.812736747146251326e-02
7.966803422832713366e-02 -1.709659511238276197e-02
7.992658856379361576e-02 -1.528203815002969479e-02
8.007290863333779707e-02 -1.736496958585412309e-02
8.018554486102516532e-02 -1.520715009314539679e-02
7.998378123971647269e-02 -1.659741618131611862e-02
8.044135591901599436e-02 -1.555080174996036069e-02
7.941045489382578260e-02 -1.697750651300634905e-02
7.957997149863599295e-02 -1.658382928681598201e-02
7.906623972567847214e-02 -1.548430942385430054e-02
8.007290863333779707e-02 -1.736496958585412309e-02
7.991773762661130709e-02 -1.556160658388597295e-02
7.975340219932874897e-02 -1.760442551271104716e-02
7.931906734339741472e-02 -1.707398138287102851e-02
7.965848247947018845e-02 -1.646169099229824462e-02
7.913644612685891144e-02 -1.831994404163610202e-02
7.948901300904612222e-02 -1.697087646058610677e-02
7.991779966597720164e-02 -1.673858926881646725e-02
7.938351520377148751e-02 -1.690175831164433817e-02
7.941820479415381828e-02 -1.676858108027064198e-02
8.123080200577062482e-02 -1.649634434582467057e-02
8.056407116691507997e-02 -1.649263923170024571e-02
8.030595344115570855e-02 -1.812502197720994301e-02
7.973479908206462796e-02 -1.580833089392667812e-02
7.846068397288494256e-02 -1.580711473640286635e-02
7.973479908206462796e-02 -1.580833089392667812e-02
7.953425099294283984e-02 -1.730408108934859690e-02
8.084866023838011007e-02 -1.588417605782187214e-02
7.903050979566625389e-02 -1.539613148970049583e-02
8.007343603627675721e-02 -1.699254691973368925e-02
8.066654722957750101e-02 -1.685586639971008160e-02
7.928263828205281416e-02 -1.705865615398005630e-02
7.953042976036950318e-02 -1.771612795771561333e-02
8.141918901164402200e-02 -1.591070856250648147e-02
8.085597967858082491e-02 -1.647905995828441439e-02
8.060282319400699502e-02 -1.582865929782649450e-02
