,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15
4154,-1.87747418101143,1.1544854898315,2.72846983715399,0.932644449227053,-0.406421290725769,2.14755167776337,0.154094860856135,0.635242775379861,-1.19882050206362,0.269487058262097,-2.26334748480587,-2.59799449545973,-1.35586045944218,-0.113625266456981,1.55803813983406,-0.318371502502481
4155,-1.25050229692821,1.74726631757381,2.85047223876279,1.32587659862718,-0.615476117578963,2.48508858667396,0.26439232707861,0.958193096324733,-0.755676976817622,0.560562533584594,-1.62829927275032,-2.29840462882856,-0.949218574379792,-0.220065064131826,1.93432318884495,-0.421523847812661
4156,-2.32415836782337,0.821710350866305,2.16038334834651,0.561244653373099,-1.09943482875529,1.63192916147835,-0.07985468571488245,0.35122330256068,-1.27578817396038,0.07184688546608949,-2.92895764478443,2.73896048487435,-1.90234014802842,-0.331006715677537,1.03329551747733,-0.671335629058075
4157,-1.61450903097282,1.24585414603112,2.77836035292738,0.980248162754462,-0.651182765727905,2.36994813362631,0.17104070111387,0.587150787727133,-0.849811388387836,0.340777715558152,-2.18214246313601,-2.76101495059403,-1.0007031808189,-0.09560456337077228,2.04608453667555,-0.298959989735339
4158,-2.03813327334209,1.06421326926784,2.12195243392595,0.811397710654643,-0.915301081039882,1.66681381231383,-0.0633342886049492,0.498944505091876,-1.20042699912173,0.173907562897609,-2.53612323051064,2.8074908509709,-1.59186793067066,-0.479956159393152,1.39407883806159,-0.77424974028773
4159,-1.90903654589397,1.307860084192,1.97433632043468,0.817664388018929,-0.871114486777804,1.81165204491515,-0.05957171154948071,0.609963585040962,-1.19469790089072,0.339210316690293,-2.07213740829224,2.9921498459297,-1.61468996141778,-0.499453272895417,1.42286388710536,-0.614546190585133
4160,-2.27867964883677,0.929385890121473,1.89213790863881,0.582596529520034,-1.20858132694906,1.65809638616666,-0.06618266329509861,0.412785013084392,-1.44042465631717,0.176818818924097,-2.46050121999931,2.55305853844444,-1.75883436932182,-0.413677141213281,1.28916689157617,-0.672268761871897
4161,-1.15596807425439,1.97335130518848,-2.22178538704559,1.44298949933905,-0.269461343704992,2.84446139580266,0.437699552666474,1.37254245416594,-0.515685467822341,1.00132394682907,-1.31077062234982,-1.73176234989906,-0.902394268543615,0.102895011591285,2.34061708607233,-0.06364854921826722
4162,-1.38415468916905,1.78907779697428,-2.4376756267181,1.42323581278073,-0.220840216200581,2.46695093183585,0.448073179944525,1.02335549686143,-0.800387998867119,0.638336185531581,-1.63491702417963,-2.01083778312043,-1.04775387476135,0.145161820491077,2.13004992185999,-0.130141558791473
4163,-1.26491878447781,1.81667341137279,-2.17310830127445,1.53577395012215,-0.348764151101206,2.79991638548988,0.468671264440069,1.33708864151169,-0.500637502067575,0.748074530135658,-1.61932120180979,-1.88488508259001,-0.718691032057612,0.178616903604107,2.34101738121279,-0.09706622778560114
4164,-1.97619161254721,1.19268776971547,2.93571819952718,0.991667276621348,-0.648755088884962,1.84945571362058,0.184435268035332,0.567998747777629,-0.896828107471672,0.216411245122277,-2.28051696485677,-2.64519851453864,-1.37378743471674,-0.08910435650526186,1.69036861185262,-0.254889102119209
4165,-1.9776962647425,1.03406111594588,2.24573200978577,0.85774075665262,-0.82156502572452,1.70535118931857,-0.02603002667571092,0.465176107595664,-1.06662606835414,0.192472439194497,-2.6880984709032,-2.96954867397249,-1.52495580596293,-0.308844965885771,1.54046563326472,-0.597385801489928
4166,-1.4611159736166,1.6180350021427,2.38782037431103,1.14959617085347,-0.81133556533038,2.26718014716151,0.172030037744456,0.851456259429351,-1.05913394316287,0.48814238667475,-1.79136658801781,-2.02999476017291,-1.35773798390787,0.0104839055498423,1.85975880757701,-0.287731249203248
4167,-0.95364478374153,2.23904797046342,-2.18301671663865,1.61680188812726,-0.145366729042089,-3.07136818400461,0.594557299800885,1.34484451524433,-0.25699383495098,0.786429713383063,-1.29187271590584,-1.5884491380406,-0.752484190739126,0.408262583527681,2.9433063768355,0.127685979859533
4168,-1.16105952991587,1.77125616979364,-2.69493006733776,1.1823546398755,-0.372523906501904,2.99271967053753,0.533229828301813,1.07809887741361,-0.653195441417911,0.785241815270958,-1.36676518258314,-1.94811756315676,-1.06377832998342,0.380617258682487,2.45047356557613,-0.05510713856248901
4169,-0.823641699583286,2.9113688712112,-1.73628889332143,1.97764713490628,0.0744996830904031,-2.32662687534221,1.02181203386891,1.53572272677479,-0.0350661482066444,1.12159495704219,-1.12771173984589,-1.19671510867386,-0.278645531767003,0.68069276301789,-2.77584581603328,0.353451656441685
4170,-1.19312226964827,2.05976048868986,-2.6269371632813,1.13227950726136,-0.125969427870991,-3.05048431668689,0.424241422150558,0.977791358617245,-0.513782137245263,0.757219833701838,-1.72793389755477,-2.07596189892932,-0.748360440907217,0.19094099571194,2.306410890998,0.02586611238385534
4171,-1.07102642821803,1.94512728899986,-1.90163093053284,1.77197081447752,-0.119397622191059,-2.25856581690306,0.758268620002359,1.43670562142956,-0.345787447387431,1.09625573864212,-1.43533431243672,-1.56832496918436,-0.795793074640277,0.545413091800032,2.63983855467177,0.284755547547613
4172,-0.61848759699675,2.82426922980072,-1.59166393931604,2.28885510540628,0.167251845093605,-2.09752800599244,0.943459682306652,1.83842713794388,-0.121674496280583,1.21501846210848,-0.776654806621915,-1.26992226934749,-0.288903847229067,0.793567528382764,-2.57988176525435,0.393166483948343
4173,-0.574141657571084,2.60583768499944,-1.58450605028874,2.14171416710413,0.164367716280347,-1.88351973898141,0.924805041168636,1.8629814406927,-0.08383479190903978,1.44163816603256,-0.963684096507283,-1.41558191193126,-0.384386261970098,0.711802941270602,-2.37481147563363,0.570234444065969
4174,-0.824186359045206,2.25040844599542,-1.70822801813616,2.0639389381067,-0.130309333972388,-2.25883874226231,0.858685830971879,1.4516102534707,-0.327818073037565,1.30798613209598,-1.174263558089,-1.32574931909142,-0.556258396115614,0.61774269656695,-3.09635772866587,0.479485812157227
4175,-0.896974303942757,2.08129147270895,-2.11985464763938,1.65152065077111,-0.01418430537142852,-2.4951582661172,0.850073223488539,1.39482979841548,-0.197721784003455,0.949129154583849,-1.25650589866855,-1.58344428185258,-0.617511754793109,0.572262667338414,-2.95743180070901,0.202288410321429
4176,-0.689954122132583,2.4593727703021,-1.90919109583878,2.16193748304595,0.19488567094127,-2.37781182318665,0.789403377899525,1.7357349663067,-0.17978142447333,1.21039399319481,-0.984414238170143,-1.20999874607865,-0.336972176660475,0.564150532784684,-2.56933192649416,0.273080184232478
4177,-0.861033473008568,2.26409404167659,-1.93575055861976,1.87783439332713,0.03098371353558705,-2.5722959405258,0.935034031408664,1.19759896825022,-0.285417793827009,1.1791094157983,-1.20357216582844,-1.49256344191762,-0.423744520500073,0.372736232135599,-3.06588714622184,0.153362365866421
4178,-1.33117479432492,1.70662132309328,-2.86965057802878,1.38671481610456,-0.461080444902054,2.58854109550817,0.37007757222671,0.823474906009979,-0.688780247112731,0.679638116890343,-1.55519842254425,-1.91769780402279,-0.97025471048776,0.265157874432863,2.40205566842638,-0.07308387865716104
4179,-1.17478587714766,2.15710205530548,-1.93284081064081,1.54574485074627,-0.202613416767636,-2.72163852505549,0.781234105728327,1.41513836771225,-0.348401376335043,0.921709379976479,-1.36786350037858,-1.56468779334399,-0.702249860933816,0.425762240593148,2.57928119792045,0.166758976533901
4180,-1.34940397601477,1.44024150313958,-2.82623185020058,1.36152062605857,-0.361309641369317,2.53571645312592,0.339095257616583,0.818151245526028,-0.769931347726925,0.645971789260727,-1.71861937893935,-2.15129404727189,-1.0687349457319,0.144649314711711,2.20301691371079,-0.117565377511108
4181,-1.86299010342386,1.06034510521225,1.99635088177011,0.598011876852867,-0.973338076563661,1.89274322769975,-0.06785647808519711,0.302705533375566,-1.23261084494539,0.174098476334484,-2.97059488004355,2.68571122743143,-1.46591176007253,-0.565077976798993,1.50363128913184,-0.78748668882168
4182,2.73974928227013,0.516743097690699,1.1398606186601,0.106685541505515,-1.65419802325648,0.965199906146375,-0.740702402127248,-0.195920969267271,-2.3281403819778,-0.334699440482092,2.10391144015597,1.53880348070572,-2.69777295845445,-1.11290325193749,0.653628122684945,-1.2334850283829
